,epa_registration_number,product_name,qtty_used_units,date_of_application,county_code,address,municipality,zip_code,rate,place,qtty_used,units
13,062719-00556,Accord XRT II,800 ML,5/2/2018,62,225th street and 149th ave,Springfield Gardens,11413,2%,Wolfe's Pond Park,800,ML
14,062719-00556,Accord XRT II,400 ML,5/21/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Flushing Meadows Corona Park,400,ML
15,062719-00556,Accord XRT II,600 ML,5/25/2018,62,225th street and 149th ave,Springfield Gardens,11413,2%,Father Macris Park,600,ML
16,062719-00556,Accord XRT II,400 ML,8/21/2018,62,225th street and 149th ave,Springfield Gardens,11413,2%,Great Kills Park,400,ML
17,062719-00556,Accord XRT II,1500 ML,8/24/2018,62,225th street and 149th ave,Springfield Gardens,11413,5%,Clove Lakes Park,1500,ML
18,062719-00556,Accord XRT II,500 ML,9/6/2018,62,225th street and 149th ave,Springfield Gardens,11413,5%,Clove Lakes Park,500,ML
19,062719-00556,Accord XRT II,400 ML,9/13/2018,62,225th street and 149th ave,Springfield Gardens,11413,2%,Wolfe's Pond Park,400,ML
20,062719-00556,Accord XRT II,1000 ML,9/24/2018,62,225th street and 149th ave,Springfield Gardens,11413,5%,Wolfe's Pond Park,1000,ML
21,062719-00556,Accord XRT II,300 ML,6/11/2018,61,225th street and 149th ave,Springfield Gardens,11413,3%,Idlewild Park,300,ML
22,062719-00556,Accord XRT II,300 ML,6/12/2018,61,225th street and 149th ave,Springfield Gardens,11413,3%,Idlewild Park,300,ML
23,062719-00556,Accord XRT II,100 ML,6/18/2018,61,Burr Ave and Pelham Parkway S,Bronx,10461,2%,Idlewild Park,100,ML
24,062719-00556,Accord XRT II,200 ML,6/19/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,200,ML
25,062719-00556,Accord XRT II,400 ML,6/20/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,400,ML
26,062719-00556,Accord XRT II,200 ML,6/25/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,200,ML
27,062719-00556,Accord XRT II,100 ML,6/26/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,100,ML
28,062719-00556,Accord XRT II,300 ML,9/4/2018,61,225th street and 149th ave,Springfield Gardens,11413,3%,Idlewild Park,300,ML
29,062719-00556,Accord XRT II,300 ML,9/14/2018,61,225th street and 149th ave,Springfield Gardens,11413,3%,Idlewild Park,300,ML
30,062719-00324,Accord Concentrate,300 ML,9/19/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,300,ML
31,062719-00324,Rodeo,150 ML,9/24/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,150,ML
32,062719-00324,Rodeo,200 ML,10/4/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,200,ML
33,062719-00324,Rodeo,200 ML,10/5/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,200,ML
34,062719-00324,Rodeo,300 ML,10/10/2018,61,235th & Palisades Ave,Bronx,10463,2%,Idlewild Park,300,ML
35,062719-00556,Accord XRT II,200 ML,6/19/2018,61,Burke Ave and Bronx River Parkway,Bronx,10467,2%,Idlewild Park,200,ML
36,062719-00556,Accord XRT II,400 ML,6/19/2018,61,Burke Ave and Bronx River Parkway,Bronx,10467,2%,Idlewild Park,400,ML
37,062719-00556,Accord XRT II,100 ML,6/20/2018,61,Burke Ave and Bronx River Parkway,Bronx,10467,2%,Idlewild Park,100,ML
38,062719-00324,Rodeo,325 ML,6/26/2018,61,233rd St and Bronx River Parkway,Bronx,10466,100%,Idlewild Park,325,ML
39,062719-00324,Accord Concentrate,200 ML,6/30/2018,61,Meadow Lake Dr and 68th Dr,Flushing,11367,2%,Idlewild Park,200,ML
40,062719-00556,Accord XRT II,200 ML,8/14/2018,61,Meadow Lake Dr and 68th Dr,Flushing,11367,2%,Idlewild Park,200,ML
41,062719-00556,Accord XRT II,400 ML,9/4/2018,61,Meadow Lake Dr and 68th Dr,Flushing,11367,1%,Idlewild Park,400,ML
42,062719-00324,Rodeo,210 ML,9/19/2018,61,Meadow Lake Dr and 68th Dr,Flushing Meadows,11367,1%,Idlewild Park,210,ML
43,062719-00324,Rodeo,400 ML,9/21/2018,61,Harding Park and Gildersleeve Ave,Bronx,10473,2%,Idlewild Park,400,ML
44,062719-00324,Rodeo,800 ML,10/1/2018,61,Harding Park and Gildersleeve Ave,Bronx,10473,2%,Idlewild Park,800,ML
45,062719-00324,Rodeo,400 ML,10/3/2018,61,Kissam Ave and Great Kills Ln,Staten Island,10306,2%,Idlewild Park,400,ML
46,062719-00324,Rodeo,400 ML,10/4/2018,61,Cedar Grove Ave and New Dorp Ln,Staten Island,10306,2%,Idlewild Park,400,ML
47,062719-00324,Rodeo,400 ML,10/10/2018,61,Cedar Grove Ave and Tysens Ln,Staten Island,10306,2%,Idlewild Park,400,ML
